City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ambon,92,FR,1555353268,81,47.55,-2.56,50.0,9.17
morehead,90,US,1555353009,60,38.18,-83.43,42.8,11.41
half moon bay,20,US,1555353298,81,37.46,-122.43,64.99,5.82
marsabit,0,KE,1555353303,54,2.34,37.99,79.24,6.08
dunedin,8,NZ,1555352633,94,-45.87,170.5,48.99,8.01
bredasdorp,0,ZA,1555351200,82,-34.53,20.04,55.4,3.36
bethel,1,US,1555350960,80,60.79,-161.76,33.8,4.29
kisangani,8,CD,1555353305,93,0.52,25.21,76.45,0.38
mar del plata,32,AR,1555353305,45,-46.43,-67.52,62.14,23.76
lata,12,IN,1555353306,73,30.78,78.62,49.72,2.39
qaanaaq,56,GL,1555353306,100,77.48,-69.36,4.18,2.06
cidreira,76,BR,1555353306,86,-30.17,-50.22,75.19,12.01
saint george,75,GR,1555353202,87,39.45,22.34,55.4,5.82
sorong,64,ID,1555353307,100,-0.86,131.25,78.16,0.38
san quintin,32,PH,1555353308,82,17.54,120.52,71.68,3.51
busselton,92,AU,1555353074,47,-33.64,115.35,62.01,27.34
san vicente,20,SV,1555353064,50,13.64,-88.78,95.0,10.29
sorland,75,NO,1555350600,75,67.67,12.69,42.8,12.75
tsivilsk,0,RU,1555351200,30,55.87,47.47,41.0,6.71
vaasa,0,FI,1555353169,44,63.1,21.62,39.2,4.7
east london,0,ZA,1555351200,87,-33.02,27.91,60.8,11.41
coihaique,75,CL,1555351200,58,-45.58,-72.07,55.4,4.7
airai,12,TL,1555353311,80,-8.93,125.41,65.92,1.39
quirinopolis,20,BR,1555353273,81,-18.45,-50.45,84.46,4.18
esperance,20,TT,1555353098,58,10.24,-61.45,88.0,17.22
khatanga,64,RU,1555353312,66,71.98,102.47,-4.38,3.06
castro,40,CL,1555351200,58,-42.48,-73.76,57.2,9.17
fort-shevchenko,0,KZ,1555353313,72,44.51,50.26,57.28,11.79
san antonio,0,CL,1555351200,59,-33.58,-71.61,78.8,16.11
avarua,8,CK,1555351200,83,-21.21,-159.78,82.4,8.05
hohhot,0,CN,1555351200,52,40.81,111.65,41.0,6.71
havre-saint-pierre,90,CA,1555352460,100,50.23,-63.6,32.0,13.87
new norfolk,0,AU,1555353074,76,-42.78,147.06,57.99,6.93
pangnirtung,20,CA,1555351200,84,66.15,-65.72,3.2,17.22
chumphon,20,TH,1555353318,89,10.5,99.18,78.97,1.95
olavarria,0,AR,1555353026,62,-36.89,-60.32,66.82,6.98
chokurdakh,0,RU,1555353318,63,70.62,147.9,8.86,6.2
lethem,88,GY,1555353319,48,3.38,-59.8,90.49,18.28
killybegs,0,IE,1555353124,70,54.63,-8.45,48.2,36.91
alice springs,0,AU,1555351200,25,-23.7,133.88,62.6,3.36
kupang,0,ID,1555353320,98,-10.16,123.6,78.43,10.22
vostok,0,RU,1555353320,72,46.45,135.83,23.98,3.18
sao joao da barra,90,BR,1555351200,74,-21.64,-41.05,80.6,6.93
saldanha,80,PT,1555353321,76,41.42,-6.55,53.95,10.33
codrington,40,AU,1555353224,93,-28.95,153.24,62.6,4.85
pevek,0,RU,1555353322,51,69.7,170.27,4.99,5.08
newport,88,GB,1555353317,43,51.59,-3.0,55.0,13.87
muisne,75,EC,1555351200,83,0.61,-80.02,82.4,6.93
pisco,0,PE,1555353019,30,-13.71,-76.2,79.0,9.17
qaqortoq,75,GL,1555350600,65,60.72,-46.03,41.0,9.17
faanui,80,PF,1555353323,100,-16.48,-151.75,82.93,16.26
santa barbara,1,US,1555353067,72,34.42,-119.7,66.0,5.82
georgetown,75,GY,1555351200,66,6.8,-58.16,89.6,16.11
umba,0,RU,1555353325,74,66.69,34.34,34.96,11.01
sitka,8,US,1555353061,35,37.17,-99.65,75.99,5.01
lodja,20,CD,1555353326,79,-3.52,23.6,79.24,3.96
kichera,44,RU,1555353326,75,55.93,110.1,9.13,2.39
yellowknife,90,CA,1555353083,73,62.45,-114.38,21.99,6.93
geraldton,40,CA,1555351200,17,49.72,-86.95,46.4,3.36
hermanus,12,ZA,1555353093,61,-34.42,19.24,57.99,1.01
dikson,44,RU,1555353327,100,73.51,80.55,3.01,21.85
bitung,40,ID,1555351200,100,1.44,125.19,71.6,2.24
bandarbeyla,92,SO,1555353328,100,9.49,50.81,81.85,5.64
victor harbor,0,AU,1555353052,42,-35.55,138.62,69.01,9.17
buala,48,SB,1555353328,99,-8.15,159.59,79.78,6.31
san cristobal,75,EC,1555353054,46,-0.39,-78.55,69.8,8.05
khandyga,64,RU,1555353329,71,62.65,135.58,14.08,3.18
callaway,90,US,1555353287,93,46.98,-95.91,42.8,12.75
honiara,75,SB,1555351200,100,-9.43,159.96,75.2,2.24
chuy,92,UY,1555353330,75,-33.69,-53.46,70.69,19.06
kissidougou,48,GN,1555353331,65,9.19,-10.1,82.03,2.17
karratha,0,AU,1555353331,90,-20.74,116.85,70.96,2.95
puri,20,ID,1555347600,100,-7.54,112.45,80.6,4.7
zhob,20,PK,1555353032,93,31.34,69.45,42.61,2.51
hofn,90,IS,1555351200,81,64.25,-15.21,46.4,16.11
san roque,75,EC,1555351200,46,0.3,-78.23,69.8,8.05
sobolevo,24,RU,1555353334,71,54.43,31.9,41.98,13.13
tiksi,68,RU,1555353334,80,71.64,128.87,9.94,2.84
sinnamary,100,GF,1555353334,100,5.38,-52.96,79.33,8.55
chapais,90,CA,1555351200,92,49.78,-74.86,30.2,14.99
shingu,20,JP,1555353335,100,33.72,135.99,54.04,5.19
thompson,75,CA,1555351200,36,55.74,-97.86,46.4,5.82
katsuura,20,JP,1555351865,87,33.93,134.5,46.4,6.93
rosetta,75,EG,1555347600,93,31.4,30.42,59.0,9.17
umm lajj,88,SA,1555353336,58,25.02,37.27,79.69,4.41
martapura,90,ID,1555351200,94,-3.41,114.85,78.8,6.93
broome,20,GB,1555353274,81,52.47,1.45,52.0,8.05
cayenne,75,GF,1555351200,70,4.94,-52.33,84.2,17.22
muskogee,1,US,1555353301,40,35.75,-95.37,75.99,20.8
sisimiut,88,GL,1555353338,96,66.94,-53.67,19.75,2.17
butaritari,76,KI,1555353338,100,3.07,172.79,81.94,16.93
ribeira grande,75,PT,1555351200,87,38.52,-28.7,57.2,26.4
muros,40,ES,1555353083,71,42.77,-9.06,59.0,8.05
laguna,75,MX,1555350240,32,27.52,-110.01,80.6,5.82
iqaluit,90,CA,1555352522,55,63.75,-68.52,10.4,12.75
san patricio,56,PY,1555353340,64,-26.98,-56.83,86.35,2.28
helena,75,US,1555353159,33,46.59,-112.04,46.4,17.22
mitu,8,IR,1555353341,64,36.2,46.09,46.21,3.62
kholmogory,90,RU,1555351200,74,64.23,41.65,37.4,13.42
port alfred,64,ZA,1555353108,95,-33.59,26.89,59.0,3.0
puro,56,PH,1555353342,94,13.13,123.76,74.56,2.95
mareeba,40,AU,1555353021,83,-16.99,145.42,73.4,8.05
tuatapere,68,NZ,1555353009,95,-46.13,167.69,48.99,3.62
camocim,92,BR,1555353105,92,-2.9,-40.84,80.68,4.74
larreynaga,40,NI,1555351200,39,12.68,-86.57,96.8,9.33
avera,1,US,1555353339,34,33.19,-82.53,68.0,10.29
panaba,92,MX,1555353344,86,21.28,-88.27,78.16,8.32
namtsy,0,RU,1555351200,57,62.72,129.66,17.6,6.71
grand gaube,75,MU,1555353240,83,-20.01,57.66,80.6,8.05
itarema,92,BR,1555353345,94,-2.92,-39.92,81.85,4.74
teguise,20,ES,1555351200,60,29.06,-13.56,73.4,17.22
hasaki,0,JP,1555353084,49,35.73,140.83,48.2,4.7
haines junction,0,CA,1555353346,71,60.75,-137.51,27.85,2.84
palanga,92,RO,1555353346,69,44.45,25.08,49.54,2.73
tuktoyaktuk,75,CA,1555351200,71,69.44,-133.03,6.8,11.41
tsabong,8,BW,1555353347,62,-26.02,22.4,67.63,5.64
axim,8,GH,1555353347,98,4.87,-2.24,82.39,6.31
guerrero negro,0,MX,1555353347,60,27.97,-114.04,69.88,8.21
kathu,0,ZA,1555353004,31,-27.7,23.05,64.0,8.1
cervo,80,BR,1555353348,95,-22.19,-46.24,69.79,5.41
torbay,90,CA,1555353205,47,47.66,-52.73,39.2,14.99
fort nelson,75,CA,1555351200,69,58.81,-122.69,35.6,3.36
sidhi,8,IN,1555353349,60,24.41,81.88,76.18,7.09
peniche,40,PT,1555353341,72,39.36,-9.38,60.8,8.05
togur,0,RU,1555353349,76,58.36,82.83,9.4,2.51
lucapa,8,AO,1555353350,87,-8.42,20.74,74.38,4.63
arenapolis,0,BR,1555353350,81,-14.45,-56.85,88.51,4.18
kaka,92,TM,1555353350,100,37.35,59.62,46.21,3.74
kodiak,1,US,1555353345,40,39.95,-94.76,73.0,16.11
berlevag,75,NO,1555350600,80,70.86,29.09,39.2,26.4
jonkoping,0,SE,1555353305,52,57.78,14.16,44.01,10.29
alofi,80,NU,1555353127,100,-19.06,-169.92,79.87,19.28
wadi maliz,20,TN,1555351200,55,36.47,8.55,60.8,9.17
taltal,0,CL,1555353352,72,-25.41,-70.49,72.4,3.4
longyearbyen,90,NO,1555350600,92,78.22,15.63,30.2,19.46
hazebrouck,0,FR,1555353341,51,50.72,2.54,59.0,6.93
colares,20,PT,1555353341,67,38.8,-9.45,62.6,13.87
tongchuan,0,CN,1555351200,87,34.9,108.95,50.0,4.47
nuqui,75,CO,1555347600,74,5.71,-77.27,86.0,5.82
san policarpo,92,PH,1555353354,100,12.18,125.51,76.81,6.31
boa vista,90,BR,1555351200,49,2.82,-60.67,89.6,14.99
bermeo,75,ES,1555353317,87,43.42,-2.72,57.99,9.17
blyth,75,GB,1555353170,87,55.12,-1.5,46.99,12.75
severo-kurilsk,88,RU,1555353126,95,50.68,156.12,32.53,6.64
barrhead,75,CA,1555351200,60,54.12,-114.4,42.8,16.11
aklavik,40,CA,1555351200,62,68.22,-135.01,24.8,12.75
kavaratti,0,IN,1555353357,98,10.57,72.64,87.25,4.07
ahipara,12,NZ,1555353357,100,-35.17,173.16,54.04,4.41
benjamin aceval,20,PY,1555351200,59,-24.97,-57.57,89.6,8.05
sanghar,44,PK,1555353358,91,28.18,68.31,65.29,2.84
halifax,90,CA,1555353316,100,44.65,-63.58,52.0,17.22
kavieng,68,PG,1555353358,100,-2.57,150.8,81.31,4.74
nanakuli,1,US,1555353239,64,21.39,-158.15,77.0,6.93
tamale,0,GH,1555353359,23,9.4,-0.84,100.48,6.42
brewster,90,US,1555353243,74,41.76,-70.08,68.0,8.05
cermik,75,TR,1555350600,54,38.14,39.45,57.2,5.82
along,76,IN,1555353360,89,28.17,94.8,61.69,1.72
kamen-rybolov,0,RU,1555353360,68,44.75,132.04,36.13,9.1
vestmannaeyjar,75,IS,1555351200,100,63.44,-20.27,46.4,23.04
monrovia,20,LR,1555351200,74,6.33,-10.8,86.0,5.82
wanning,0,AT,1555353285,75,48.64,13.53,53.6,1.12
walvis bay,0,NA,1555351331,72,-22.95,14.51,59.0,4.7
bosanci,0,HR,1555353317,53,45.44,15.26,60.8,4.7
vieques,20,PR,1555353356,62,18.43,-65.83,86.0,21.92
dingle,12,PH,1555353362,85,11.0,122.67,77.71,8.21
anadyr,36,RU,1555352548,91,64.73,177.51,1.4,6.71
troy,90,US,1555353124,70,42.73,-73.69,50.0,14.99
mao,40,DO,1555352754,48,19.55,-71.08,91.99,13.87
marsaxlokk,20,MT,1555353326,62,35.84,14.54,59.0,12.75
saint-pierre,0,FR,1555353327,54,48.95,4.24,59.0,10.29
klaksvik,64,FO,1555350600,75,62.23,-6.59,42.8,25.28
provideniya,0,RU,1555353365,100,64.42,-173.23,18.94,10.11
concordia,90,AR,1555352810,106,-31.4,-58.02,66.0,13.87
riyadh,0,SA,1555351200,10,24.63,46.72,78.8,5.82
barinas,32,VE,1555353366,73,8.64,-70.23,86.35,9.78
quelimane,0,MZ,1555347600,83,-17.88,36.89,82.4,8.05
montrose,75,AU,1555353363,40,-37.81,145.34,71.6,12.75
yajalon,40,MX,1555350120,54,17.17,-92.33,84.2,2.73
vestmanna,68,FO,1555350600,75,62.16,-7.17,42.8,25.28
temir,0,KZ,1555353368,67,49.14,57.13,40.99,7.76
bandar,88,ID,1555353368,97,-4.2,104.14,72.4,4.97
katherine,0,AU,1555351200,77,-14.47,132.26,69.8,3.36
bastrop,1,US,1555353047,43,32.78,-91.91,73.99,6.93
kalanguy,44,RU,1555353369,89,51.01,116.52,32.17,9.22
aguimes,20,ES,1555353330,60,27.91,-15.45,71.01,16.11
soyo,80,AO,1555353370,71,-6.13,12.37,83.92,6.2
gornozavodsk,92,RU,1555353370,89,58.37,58.33,32.08,11.68
kingaroy,0,AU,1555351200,87,-26.54,151.84,57.2,3.36
zhigalovo,12,RU,1555353371,68,54.81,105.15,9.85,2.17
gavle,0,SE,1555353134,52,60.67,17.14,37.0,5.01
kloulklubed,76,PW,1555353371,97,7.04,134.26,82.93,11.79
fortuna,75,ES,1555353338,88,38.18,-1.13,66.99,10.29
obo,68,CF,1555353372,97,5.39,26.49,70.33,1.16
port lincoln,0,AU,1555353372,97,-34.72,135.86,63.22,6.2
shalya,68,RU,1555353373,66,57.25,58.73,32.98,10.67
luderitz,0,NA,1555351200,67,-26.65,15.16,60.8,13.87
zhongshan,40,CN,1555353346,88,22.52,113.37,71.6,18.34
lavrentiya,36,RU,1555353374,100,65.58,-170.99,10.39,8.66
rawson,0,AR,1555353374,32,-43.3,-65.11,67.99,13.8
ilulissat,75,GL,1555350600,86,69.22,-51.1,28.4,9.17
karlskoga,0,SE,1555353150,31,59.33,14.52,48.2,4.7
afzalgarh,48,IN,1555353375,76,29.49,78.76,71.05,2.39
souillac,0,FR,1555353324,34,45.6,-0.6,64.4,12.8
imbituba,20,BR,1555351200,78,-28.24,-48.67,80.6,14.99
baykit,12,RU,1555353376,74,61.68,96.39,6.7,4.41
lagoa,20,PT,1555353158,72,37.14,-8.45,68.0,19.46
inta,76,RU,1555353377,72,66.04,60.13,19.03,8.1
namibe,0,AO,1555353377,100,-15.19,12.15,76.36,11.45
rocha,80,UY,1555353378,62,-34.48,-54.34,67.09,13.35
isangel,68,VU,1555353378,99,-19.55,169.27,80.14,16.49
havelock,1,US,1555353347,40,34.88,-76.9,73.99,18.34
kesinga,24,IN,1555353379,70,20.19,83.22,76.54,9.1
port moresby,40,PG,1555351200,94,-9.47,147.16,73.4,5.82
cherskiy,0,RU,1555353379,67,68.75,161.3,19.3,7.2
igra,88,RU,1555353001,60,57.55,53.1,39.0,4.0
jumla,8,NP,1555353380,82,29.28,82.18,30.73,2.73
carutapera,64,BR,1555353380,85,-1.2,-46.02,83.11,5.75
kuvshinovo,0,RU,1555353381,53,57.03,34.18,39.28,9.22
mount isa,0,AU,1555351200,52,-20.73,139.49,66.2,3.36
jablah,75,SY,1555351200,72,35.36,35.93,60.8,5.82
bathsheba,75,BB,1555351200,83,13.22,-59.52,78.8,16.11
abyek,40,IR,1555351200,33,36.04,50.53,59.0,4.7
meulaboh,8,ID,1555353382,100,4.14,96.13,82.21,0.16
dhone,20,IN,1555353382,32,15.4,77.87,80.95,7.99
port-gentil,20,GA,1555351200,88,-0.72,8.78,80.6,4.7
alekseyevsk,64,RU,1555353383,76,57.84,108.35,15.07,2.39
jalu,0,LY,1555353383,25,29.03,21.55,65.56,5.19
roald,0,NO,1555353302,70,62.58,6.12,50.0,10.29
paamiut,92,GL,1555353384,92,61.99,-49.67,33.79,5.97
vao,0,EE,1555353384,63,59.1,26.19,35.59,4.74
waingapu,8,ID,1555353384,91,-9.65,120.26,76.45,6.2
norman wells,75,CA,1555351200,62,65.28,-126.83,21.2,13.87
nanortalik,92,GL,1555353385,95,60.14,-45.24,33.43,7.76
san jose,8,PH,1555353231,95,15.79,120.99,70.06,1.95
emmen,0,NL,1555353367,47,52.79,6.89,55.99,13.87
birnin kebbi,76,NG,1555353387,24,12.45,4.2,98.41,6.64
whitehorse,75,CA,1555353286,47,60.72,-135.06,39.99,8.05
shizunai,56,JP,1555353388,86,42.33,142.37,38.74,17.83
moron,48,VE,1555353388,77,10.49,-68.2,79.96,2.95
ulaangom,8,MN,1555353388,57,49.98,92.07,39.73,8.66
port elizabeth,75,US,1555353373,44,39.31,-74.98,60.8,29.97
phan thiet,0,VN,1555353389,100,10.93,108.1,80.32,1.39
sola,0,FI,1555352400,52,62.78,29.36,42.8,3.36
umarkot,92,PK,1555353390,33,25.37,69.74,79.51,15.26
suntar,32,RU,1555353390,70,62.16,117.65,6.43,3.85
lompoc,20,US,1555353384,71,34.64,-120.46,64.0,6.93
chara,75,GR,1555353202,87,39.42,22.43,55.4,5.82
kaitangata,92,NZ,1555353303,91,-46.28,169.85,48.0,4.0
hatillo,1,PR,1555353220,65,18.49,-66.83,86.0,12.75
jasper,0,US,1555353249,40,33.83,-87.28,68.0,4.18
panama city,1,US,1555353083,32,30.16,-85.65,73.0,9.17
svetlogorsk,0,RU,1555351200,47,53.14,59.15,33.8,6.53
rantepao,64,ID,1555353352,98,-2.97,119.9,68.26,1.61
nikolskoye,0,RU,1555353003,52,59.7,30.79,42.8,2.24
college,90,US,1555353325,74,64.86,-147.8,39.0,4.18
fallon,75,US,1555350960,32,46.84,-105.12,53.6,14.99
honningsvag,75,NO,1555350600,80,70.98,25.97,39.2,26.4
koulikoro,0,ML,1555351200,8,12.86,-7.56,102.2,5.82
udachnyy,0,RU,1555351200,45,66.42,112.4,3.2,4.47
diapaga,8,BF,1555353395,16,12.07,1.79,95.26,6.64
xai-xai,0,MZ,1555353395,89,-25.04,33.64,80.68,9.22
houma,0,CN,1555353396,95,35.63,111.36,46.48,4.63
bijie,92,CN,1555353396,96,27.3,105.3,53.77,2.39
deputatskiy,76,RU,1555353396,85,69.3,139.9,12.1,2.62
balikpapan,80,ID,1555353396,99,-1.24,116.86,82.66,6.98
luwuk,64,ID,1555353397,100,-0.95,122.79,77.71,2.62
kruisfontein,48,ZA,1555353397,79,-34.0,24.73,57.82,9.44
beringovskiy,0,RU,1555353398,82,63.05,179.32,5.62,5.53
brentwood,1,US,1555353197,36,36.03,-86.78,64.0,12.75
lebu,0,ET,1555353398,75,8.96,38.73,57.37,4.41
mount gambier,40,AU,1555351200,34,-37.83,140.78,66.2,10.29
srednekolymsk,0,RU,1555353399,70,67.46,153.71,25.06,6.64
sao jose da coroa grande,80,BR,1555353399,84,-8.9,-35.15,83.56,7.09
cabo san lucas,75,MX,1555353127,60,22.89,-109.91,81.0,18.34
asosa,12,ET,1555353400,65,10.07,34.53,74.2,5.41
alta floresta,0,BR,1555353400,69,-9.87,-56.08,87.34,2.95
fairbanks,90,US,1555353166,74,64.84,-147.72,37.99,4.18
padang,75,ID,1555347600,94,-0.92,100.36,77.0,4.7
atar,44,MR,1555351200,8,20.52,-13.05,98.6,6.93
zambrow,0,PL,1555353300,34,52.99,22.24,45.0,8.32
yerbogachen,20,RU,1555353401,64,61.28,108.01,10.21,3.74
kieta,20,PG,1555353402,99,-6.22,155.63,78.52,4.41
kelowna,1,CA,1555353095,42,49.89,-119.5,51.01,4.7
comodoro rivadavia,0,AR,1555351200,33,-45.87,-67.48,62.6,23.04
grandview,1,US,1555353380,35,38.89,-94.53,75.0,13.87
derzhavinsk,88,KZ,1555353403,84,51.1,66.31,35.05,8.43
kachiry,92,KZ,1555353403,88,53.07,76.1,30.55,9.1
abu dhabi,0,AE,1555351200,64,24.47,54.37,75.2,3.36
shimoda,0,JP,1555353311,83,34.7,138.93,46.99,12.01
laizhou,64,CN,1555353404,65,37.18,119.93,54.58,13.13
yar-sale,80,RU,1555353405,91,66.83,70.83,20.74,19.84
panjab,92,AF,1555353405,95,34.38,67.02,31.63,2.39
high level,75,CA,1555351200,59,58.52,-117.13,37.4,6.93
portland,90,US,1555353315,66,45.52,-122.67,55.0,3.36
ler,0,NO,1555353317,34,63.2,10.3,50.0,1.12
arlit,0,NE,1555353374,13,18.74,7.39,81.49,6.98
moose factory,1,CA,1555351200,55,51.26,-80.61,35.6,12.75
abeokuta,0,NG,1555353407,71,7.16,3.35,83.83,7.31
hanna,0,CA,1555353244,38,51.64,-111.93,54.0,13.0
cazones,75,MX,1555350180,74,20.72,-97.32,78.8,9.17
mecca,0,SA,1555353408,41,21.43,39.83,78.88,3.4
santa maria do suacui,12,BR,1555353409,68,-18.19,-42.41,80.59,5.75
beloha,0,MG,1555353409,82,-25.17,45.06,75.91,9.55
flinders,36,AU,1555353016,100,-34.58,150.85,57.99,10.29
minsk,75,BY,1555351200,64,53.9,27.56,39.2,8.95
komsomolskiy,56,RU,1555353410,77,67.55,63.78,8.68,20.51
egvekinot,0,RU,1555353130,53,66.32,-179.17,-0.69,2.17
carnarvon,44,ZA,1555353410,42,-30.97,22.13,50.53,2.84
belmonte,0,PT,1555353218,76,40.36,-7.35,57.0,5.01
narsaq,75,GL,1555350600,65,60.91,-46.05,41.0,9.17
baruun-urt,20,MN,1555353411,33,46.68,113.28,40.81,12.68
xining,8,CN,1555353411,64,36.62,101.77,22.27,1.83
jawar,36,YE,1555353412,65,14.37,44.54,62.41,2.95
eirunepe,20,BR,1555353412,57,-6.66,-69.87,92.56,2.95
roswell,1,US,1555353195,15,33.39,-104.52,86.0,4.7
eureka,90,US,1555353128,70,40.8,-124.16,51.01,3.36
goderich,0,CA,1555353412,67,43.74,-81.71,42.01,27.0
tukan,8,RU,1555353413,55,53.84,57.45,24.34,3.4
san martin,75,EC,1555353054,46,-0.3,-78.52,69.8,8.05
tanabe,32,JP,1555353407,55,33.73,135.39,48.99,1.01
jardin,0,FR,1555353332,41,45.5,4.91,61.0,12.75
collie,92,AU,1555353319,47,-33.36,116.15,62.01,20.62
kanzaki,0,JP,1555353328,87,33.31,130.37,51.01,3.36
zalantun,0,CN,1555353415,42,48.0,122.72,41.35,5.86
guarapari,75,BR,1555352360,78,-20.67,-40.5,81.0,9.17
zhigansk,0,RU,1555353416,76,66.77,123.37,4.81,6.2
teya,75,MX,1555353036,55,21.05,-89.07,86.0,11.41
henties bay,0,NA,1555351331,87,-22.12,14.28,59.0,8.01
hamilton,75,CA,1555353354,77,43.26,-79.87,46.0,21.92
los llanos de aridane,75,ES,1555353322,88,28.66,-17.92,66.2,9.17
ambilobe,24,MG,1555353418,100,-13.19,49.05,73.48,2.95
bilibino,0,RU,1555353418,59,68.06,166.44,4.09,2.39
altamura,0,IT,1555353367,76,40.83,16.55,60.8,8.05
tura,0,IN,1555353419,97,25.52,90.21,67.45,6.42
qasigiannguit,75,GL,1555350600,86,68.82,-51.19,28.4,9.17
eskhar,75,UA,1555351200,93,49.79,36.59,51.8,15.66
montorio al vomano,20,IT,1555353342,58,42.58,13.64,57.2,3.36
dwarka,40,IN,1555353008,35,28.58,77.04,96.01,11.9
arraial do cabo,0,BR,1555351200,58,-22.97,-42.02,82.4,11.41
bayonet point,1,US,1555353405,47,28.33,-82.68,79.0,9.17
nerchinskiy zavod,92,RU,1555353421,96,51.31,119.61,33.52,5.64
san nicolas,88,HN,1555353421,72,14.94,-88.33,77.8,2.62
bilma,0,NE,1555353422,10,18.69,12.92,80.68,10.11
cap malheureux,75,MU,1555353240,83,-19.98,57.61,80.6,8.05
uige,88,AO,1555353422,87,-7.61,15.06,73.93,2.17
bumba,48,CD,1555353423,95,2.18,22.47,73.3,2.95
salalah,0,OM,1555350600,58,17.01,54.1,84.2,1.12
marzuq,24,YE,1555353423,64,14.4,46.47,69.34,3.4
mayo,90,CA,1555351200,55,63.59,-135.9,37.4,3.51
soloneshnoye,92,RU,1555353424,93,51.65,84.32,34.24,2.39
port macquarie,76,AU,1555353005,87,-31.43,152.91,59.0,3.36
taoudenni,0,ML,1555353424,9,22.68,-3.98,86.08,6.64
biak,64,ID,1555353425,100,-0.91,122.88,77.71,2.62
paralimni,92,GR,1555353400,74,40.99,23.67,55.99,3.0
lima,0,PE,1555353134,65,-12.06,-77.04,77.0,6.93
ancud,40,CL,1555351200,58,-41.87,-73.83,57.2,9.17
touros,40,BR,1555351200,70,-5.2,-35.46,86.0,10.29
bambous virieux,75,MU,1555353240,83,-20.34,57.76,80.6,8.05
solvychegodsk,64,RU,1555353427,80,61.33,46.92,35.41,12.35
talcahuano,0,CL,1555351200,48,-36.72,-73.12,62.6,14.99
escanaba,1,US,1555353207,29,45.75,-87.06,52.0,6.93
stoughton,75,CA,1555353282,87,49.68,-103.03,55.0,21.92
caravelas,20,BR,1555353428,100,-17.73,-39.27,81.04,7.43
kendari,80,ID,1555353428,98,-3.99,122.52,73.84,2.95
piacabucu,92,BR,1555353428,67,-10.41,-36.43,84.46,14.03
roros,0,NO,1555350600,22,62.57,11.38,44.6,3.36
nishihara,0,JP,1555353370,37,35.74,139.53,55.99,24.16
